epoch,accuracy,loss,val_accuracy,val_loss
0,0.7269999980926514,0.8272511959075928,0.8324999809265137,0.34526002407073975
1,0.828000009059906,0.423488974571228,0.7450000047683716,0.5375721454620361
2,0.871999979019165,0.3017321527004242,0.8799999952316284,0.30935466289520264
3,0.9129999876022339,0.2498304545879364,0.8799999952316284,0.30144941806793213
4,0.921999990940094,0.19952411949634552,0.8912500143051147,0.3344086706638336
5,0.9269999861717224,0.2040671855211258,0.8862500190734863,0.31411975622177124
6,0.9269999861717224,0.1985679715871811,0.8912500143051147,0.36039677262306213
7,0.9419999718666077,0.14683878421783447,0.8149999976158142,0.6340956091880798
8,0.9589999914169312,0.12821920216083527,0.8637499809265137,0.6394788026809692
9,0.9589999914169312,0.11055191606283188,0.8712499737739563,0.6183568835258484
